goal_id,match_id,minute,goal_type,player_id,assist_player_id,event_type,player_name,is_penalty,is_own_goal,xg_probability,shot_quality_index
goal_bc856782447f,match_4bfdc491dce5,66,left-footed_shot,player_24dbccbf6805,player_fb44cf4a0621,goal,Marcus Rashford,False,False,NULL,NULL
goal_aee85929cce9,match_76896405b38c,12,penalty,player_a055d3e58c07,player_b5b373aefc3c,goal,Robert Lewandowski,True,False,NULL,NULL
goal_fd930866fac9,match_76896405b38c,65,right-footed_shot,player_8c278462dc2f,player_39a3eeb7dc5f,goal,Thiago,False,False,NULL,NULL
goal_4fd59e42f514,match_76896405b38c,90,right-footed_shot,player_d8dbed86e211,player_2f682d934f33,goal,Joshua Kimmich,False,False,NULL,NULL
goal_8be6baae2284,match_50a90a7172e6,19,right-footed_shot,player_70080aa08b4f,player_8d80fcff39dd,goal,Neymar,False,False,NULL,NULL
goal_10a8ef85d9bc,match_50a90a7172e6,34,right-footed_shot,player_4d9edf726eac,player_8157af669859,goal,Kylian Mbappé,False,False,NULL,NULL
goal_922cb2a908a9,match_50a90a7172e6,40,penalty,player_3607b6686fd5,player_2c2e58b5f17d,goal,Edinson Cavani,True,False,NULL,NULL
goal_605868f4eeeb,match_50a90a7172e6,83,own_goal,player_567dd6687d00,NULL,goal,Mikael Lustig,False,True,NULL,NULL
goal_7fe196dc1652,match_50a90a7172e6,85,header,player_3607b6686fd5,player_14e9dc5eeb0a,goal,Edinson Cavani,False,False,NULL,NULL
goal_ea8520172df5,match_0c5987128116,2,right-footed_shot,player_e7d23867dd7c,player_8157af669859,goal,Dani Alves,False,False,NULL,NULL
goal_0e79bc55b463,match_0c5987128116,31,right-footed_shot,player_3607b6686fd5,player_f224f2d12922,goal,Edinson Cavani,False,False,NULL,NULL
goal_a0ffaa83901a,match_0c5987128116,63,right-footed_shot,player_70080aa08b4f,NULL,goal,Neymar,False,False,NULL,NULL
goal_46b1b6aa61f2,match_d0e21714b518,38,right-footed_shot,player_d41d8cd98f00,player_f570d5ddae5b,goal,NULL,False,False,NULL,NULL
goal_98d03d3fd11f,match_d0e21714b518,50,left-footed_shot,player_28a67ff9dbc5,NULL,goal,Patrick Roberts,False,False,NULL,NULL
goal_d68a7e08d6d0,match_d0e21714b518,90,left-footed_shot,player_d41d8cd98f00,player_4960b78a25e8,goal,NULL,False,False,NULL,NULL
goal_23025ad85385,match_775a81053481,3,right-footed_shot,player_4d9edf726eac,player_2dbc1aecee5f,goal,Kylian Mbappé,False,False,NULL,NULL
goal_faa3c2e948a4,match_775a81053481,44,header,player_3607b6686fd5,player_f224f2d12922,goal,Edinson Cavani,False,False,NULL,NULL
goal_480285aaa3f2,match_775a81053481,66,free_kick,player_70080aa08b4f,NULL,goal,Neymar,False,False,NULL,NULL
goal_0a8883f305de,match_775a81053481,88,left-footed_shot,player_3efa052bbed3,NULL,goal,Ángel Di María,False,False,NULL,NULL
goal_8db1d437ce58,match_0891f4fb7032,17,right-footed_shot,player_f64679a0029f,NULL,goal,Thomas Müller,False,False,NULL,NULL
goal_e142c8823a54,match_0891f4fb7032,29,header,player_d8dbed86e211,player_b08d39af731a,goal,Joshua Kimmich,False,False,NULL,NULL
goal_5fcfdfb2f9bf,match_0891f4fb7032,51,header,player_6b265a603d65,NULL,goal,Mats Hummels,False,False,NULL,NULL
goal_a0b5c58af26b,match_64b742ae6daf,30,right-footed_shot,player_7b8ecac5bf37,player_f224f2d12922,goal,Marco Verratti,False,False,NULL,NULL
goal_da68a36510b7,match_64b742ae6daf,45,right-footed_shot,player_70080aa08b4f,player_ea3036b10797,goal,Neymar,False,False,NULL,NULL
goal_fd7fa1e4c1c0,match_64b742ae6daf,52,left-footed_shot,player_6d6d2a4d97e0,NULL,goal,Layvin Kurzawa,False,False,NULL,NULL
goal_a0a0308fc3b8,match_64b742ae6daf,72,header,player_6d6d2a4d97e0,player_f8481e6b014e,goal,Layvin Kurzawa,False,False,NULL,NULL
goal_4c1ac4066538,match_64b742ae6daf,78,left-footed_shot,player_6d6d2a4d97e0,player_04c9fc82967a,goal,Layvin Kurzawa,False,False,NULL,NULL
goal_5666c23f03fe,match_3547defca470,22,left-footed_shot,player_f070f8e348b8,player_1f63a61140bb,goal,Kingsley Coman,False,False,NULL,NULL
goal_0e79c9ae0b66,match_3547defca470,74,left-footed_shot,player_003eebcdf7ee,player_10cda5b2c5ad,goal,Callum McGregor,False,False,NULL,NULL
goal_b5bbb9650443,match_3547defca470,77,header,player_d10add914c60,player_2016e1d19113,goal,Javi Martínez,False,False,NULL,NULL
goal_66840a15e501,match_1203f1579806,51,right-footed_shot,player_a055d3e58c07,player_e180d7121deb,goal,Robert Lewandowski,False,False,NULL,NULL
goal_5839c7274218,match_1203f1579806,63,right-footed_shot,player_0559e078aa92,NULL,goal,Sofiane Hanni,False,False,NULL,NULL
goal_6e0c492e79fe,match_1203f1579806,77,header,player_eaeb293a1420,player_39a3eeb7dc5f,goal,Corentin Tolisso,False,False,NULL,NULL
goal_a22c44dba334,match_3a3a74ba4081,1,null,player_770cc574d195,player_4960b78a25e8,goal,Moussa Dembélé,False,False,NULL,NULL
goal_394e803da6af,match_3a3a74ba4081,9,left-footed_shot,player_70080aa08b4f,player_8d80fcff39dd,goal,Neymar,False,False,NULL,NULL
goal_fe1d7be0d26a,match_3a3a74ba4081,22,left-footed_shot,player_70080aa08b4f,player_2dbc1aecee5f,goal,Neymar,False,False,NULL,NULL
goal_fa456ec77069,match_3a3a74ba4081,28,right-footed_shot,player_3607b6686fd5,player_8157af669859,goal,Edinson Cavani,False,False,NULL,NULL
goal_64c318f0b7e8,match_3a3a74ba4081,35,right-footed_shot,player_4d9edf726eac,player_5678a2b77660,goal,Kylian Mbappé,False,False,NULL,NULL
