player_id,player_name,season,position_group,PC1,PC2,kmeans_cluster,dbscan_cluster
player_50f870e4bc9e,Aaronson,2021-2022,Midfielder,3.742399243595067,-2.0087197077339582,1,0
player_bfb0c8f945ee,Rafa Silva,2021-2022,Unknown,5.089651665796127,-2.345235726098138,1,0
player_fab2cb4b1a52,Gravenberch,2021-2022,Midfielder,7.894743798228939,-2.846587640101105,1,0
player_d9313455db66,Kimmich,2021-2022,Midfielder,9.10526330198068,-3.609959279761842,1,0
player_223a9432b6ba,Marcos Llorente,2021-2022,Unknown,5.774601627052248,-2.295436954289672,1,0
player_89bae2db9564,Azpilicueta,2021-2022,Defender,7.469593999667192,-3.226381353652588,1,0
player_172522ec1028,David,2021-2022,Forward,3.53633580677546,-2.274175384357957,1,0
player_455ad4beb47b,Mbappé,2021-2022,Forward,9.711275679855008,-4.92822788830158,1,0
player_91c666f31606,Havertz,2021-2022,Midfielder,7.935349473492815,-3.294365765113464,1,0
player_d1fb83c4c01e,Camara,2021-2022,Midfielder,7.562897774990971,-2.543274466898482,1,0
player_91c2dd859c73,Haller,2021-2022,Forward,11.475110879411355,-5.239783547690752,1,0
player_519c604b72c0,Bastoni,2021-2022,Unknown,6.714241582762585,-2.593099955807881,1,0
player_15ee9f0a5ec3,Koke,2021-2022,Unknown,4.764754246982641,-1.9980050032960504,1,0
player_ac6060a318e0,Rúben Dias,2021-2022,Unknown,6.26964383351152,-2.53793082002582,1,0
player_bc516ca0df39,Mazraoui,2021-2022,Defender,8.353416992448253,-3.089818173155595,1,0
player_bb5d78d47f5a,Gündoğan,2021-2022,Midfielder,6.168452963827931,-2.608743188571844,1,0
player_75be7f5ad3be,Upamecano,2021-2022,Defender,8.406540794731638,-3.1930705041387384,1,0
player_8fd319af1794,Foden,2021-2022,Midfielder,7.60205879219433,-3.400624805793482,1,0
player_9966aafd6e7f,Seiwald,2021-2022,Midfielder,8.49761087483597,-2.609434080165436,1,0
player_03ee78eac41f,Estupiñán,2021-2022,Defender,5.554438624990996,-2.053699903447384,1,0
player_a6251e42140d,Stones,2021-2022,Defender,6.31471246967508,-2.7351161879717885,1,0
player_010df191f822,Brozović,2021-2022,Midfielder,8.188068901482092,-3.110280203574664,1,0
player_52857288552a,Coman,2021-2022,Forward,7.166919812226594,-3.258014908865106,1,0
player_1463ccd2104e,Messi,2021-2022,Forward,8.617820339862746,-4.251555819691683,1,0
player_a06b4eb45ee1,Tadić,2021-2022,Forward,5.537749219744916,-2.572565301421614,1,0
player_19984dcaea13,André,2021-2022,Unknown,8.378259890111627,-3.0199590305928066,1,0
player_e814717a5349,Kimpembe,2021-2022,Defender,6.452706560869596,-2.6136611648718344,1,0
player_9baff87b63d7,Adán,2021-2022,Goalkeeper,0.4043255065061879,-0.9525602931822894,0,0
player_712924357e89,Szczęsny,2021-2022,Goalkeeper,0.2133922214757127,-0.8972805910348607,0,0
player_3dc8b54e9504,De Gea,2021-2022,Goalkeeper,-0.0343021430105431,-0.8044604232665117,0,0
player_5e7990602645,Berghuis,2021-2022,Forward,6.049288090501961,-3.0382123008109314,1,0
player_7853274de857,De Ligt,2021-2022,Defender,5.440930547176924,-2.396849417647536,1,0
player_de452ea371c3,Núñez,2021-2022,Forward,5.460218410458039,-2.9437371951658347,1,0
player_004ab6d016c6,Matheus Reis,2021-2022,Unknown,2.9716771498499908,-1.349412973956144,1,0
player_c5aa3124b1ad,Ronaldo,2021-2022,Forward,7.293347455633634,-3.843768078556451,1,0
player_e8c816b2230d,Adeyemi,2021-2022,Forward,5.838755183488956,-2.7723063293311583,1,0
player_914dcf7bfabd,Christensen,2021-2022,Defender,8.206430237870999,-3.2643825618976434,1,0
player_f4e1b0df6006,Zeki Çelik,2021-2022,Unknown,4.333315895678704,-1.9122429698776908,1,0
player_7fd94f6432a3,Giménez,2021-2022,Defender,3.599338051973632,-1.6443047393828611,1,0
player_9f511b73b7a1,Paulinho,2021-2022,Unknown,5.533866482936737,-2.86824078241948,1,0
player_80da5ba91f23,Sterling,2021-2022,Forward,6.911656102388126,-2.733786370552713,1,0
player_dec6a43f91eb,Nuno Mendes,2021-2022,Unknown,3.6844147166943295,-1.7286340632202506,1,0
player_740f367625f5,Bonucci,2021-2022,Defender,4.7107269485883405,-2.0262857947562924,1,0
player_a0a132f5406f,Kondogbia,2021-2022,Midfielder,5.9545105195058206,-2.0747477548129845,1,0
player_c56ff25e9b95,De Paul,2021-2022,Midfielder,6.9298770614521175,-2.4449556246956226,1,0
player_3716114b005e,Antony,2021-2022,Unknown,9.417320955387533,-4.131434419103836,1,0
player_1c3a0b25c3d1,Walker,2021-2022,Defender,5.029478393283061,-2.0559768545111483,1,0
player_40d69f63ca05,João Félix,2021-2022,Unknown,3.9369135941640665,-2.0709284502091947,1,0
player_1d78a59bcf86,Wöber,2021-2022,Defender,6.236429301850169,-2.345545204869018,1,0
player_6013221752df,Blind,2021-2022,Defender,7.007633410987678,-2.843346730130109,1,0
player_7ff87e1a7456,L. Hernández,2021-2022,Defender,9.008186572252802,-2.9822200511329475,1,0
player_ca64316c32b0,J. Timber,2021-2022,Midfielder,7.806172224758028,-2.692388257415155,1,0
player_2efb46bed4b7,Jorginho,2021-2022,Unknown,8.057167079436248,-3.3661566693103886,1,0
player_8d9bc30019a7,Gonçalo Inacio,2021-2022,Unknown,3.425480491455624,-1.7295317048911614,1,0
player_e438d4969c83,Álvarez,2021-2022,Midfielder,9.771618122179753,-2.9917106660793404,1,0
player_4866450eaa39,Alex Sandro,2021-2022,Unknown,5.3338794773715925,-2.126727269785092,1,0
player_b4a82586a801,Alonso,2021-2022,Defender,5.617718663773102,-1.9868226438011212,1,0
player_c99868052fb8,Everton,2021-2022,Unknown,2.4917718302833665,-1.1052954601296603,1,0
player_499b8fd90929,Džeko,2021-2022,Forward,5.482010764843103,-2.823717894188864,1,0
player_776c6991eb94,Vanaken,2021-2022,Midfielder,5.710564864992425,-2.893487870526202,1,0
player_a1d1035cd9af,S. Thill,2021-2022,Midfielder,5.836633264380374,-2.737106461069069,1,0
player_01d22c1dd3a2,Coates,2021-2022,Defender,4.735211031956295,-2.495251215551093,1,0
player_49a30d03c669,Arnold,2021-2022,Midfielder,6.7029807481987,-2.5922976752316496,1,0
player_bbad900e63b4,Cristiano,2021-2022,Defender,3.768992214622768,-1.836066568532372,1,0
player_79c08c1b7f4d,Zabarnyi,2021-2022,Defender,3.589993629835252,-1.6209366319058671,1,0
player_cebdd715d4ec,Fernando,2021-2022,Unknown,6.150733665311449,-2.5040400926150865,1,0
player_ddfd7f4f2f6e,Fernando Costanza,2021-2022,Defender,4.852549525582205,-1.7385870820572575,1,0
player_721c6ff80a6d,Dodô,2021-2022,Defender,5.17614947166295,-2.0026533363517025,1,0
player_59acab823939,Barrios,2021-2022,Midfielder,5.417642234858915,-1.9742644638595863,1,0
player_86e4bc4e8f27,Maxence Lacroix,2021-2022,Other,3.29146409338729,-1.4223708136018007,1,0
