player_id,degree,strength,pagerank,eigenvector,betweenness
player_d37d00048e06,7,3.144775988957987,4.715060862075147e-06,0.0,3.25038333759264e-05
player_39f3e93a9159,18,8.218042455546987,9.917406420487562e-06,0.0,0.019510685535394836
player_2ac5fe4b7611,61,22.490074659521284,3.082021089082779e-05,0.0,0.025117184172416727
player_ca64316c32b0,7,2.5901063729353138,4.099634308744195e-06,0.0,0.004923039654144305
player_a684d20ceab7,42,16.792577023423174,2.410831617898026e-05,0.0,0.002115970270040037
player_8d9bc30019a7,11,4.371192503674641,6.396026578239748e-06,0.0,0.0005828594854757645
player_ae455b327aae,23,7.941317460539061,1.2506709740288947e-05,0.0,0.002079366854076156
player_4866450eaa39,58,23.24417560585256,3.109231291291156e-05,0.0,0.018508710281966094
player_f722d65c6b4f,74,29.216057282702096,3.97498361341993e-05,0.0,0.013316615554987647
player_c99868052fb8,6,1.809691212051526,3.2319745708659705e-06,0.0,0.0014094577902717437
player_89e880f80a52,35,13.957653774065385,1.9365385195995196e-05,0.0,0.003767383294999574
player_0d6e68743927,26,9.764956103079848,1.3943261404446414e-05,0.0,0.002735486412811994
player_a1d1035cd9af,5,1.8412999926966067,3.134420578635186e-06,0.0,0.00030938538205980065
player_4ee629e83bc5,5,1.951531807212508,3.5177788664661707e-06,0.0,8.46537183746486e-06
player_bbad900e63b4,7,2.2674757024404255,3.8031322333030307e-06,0.0,0.0006632538972655252
player_45e618c928d7,9,4.149389116047399,5.9471009344038556e-06,0.0,3.0613766078882356e-06
player_cebdd715d4ec,38,14.347770093203026,2.0503664704439236e-05,0.0,0.003350556904335974
player_ddfd7f4f2f6e,5,1.7374011189248837,3.0673705763681777e-06,0.0,4.7384785756878775e-06
player_721c6ff80a6d,5,2.3006798633488037,4.01224153115294e-06,0.0,3.008135275577136e-06
player_1187ad9dd39f,26,11.990439411696991,1.538713292190084e-05,0.0,0.0013334557883976487
player_86e4bc4e8f27,8,3.183191412088653,4.503662030999505e-06,0.0,2.6301218161683276e-05
player_f4dfad803df8,10,3.631411214345739,5.780524154619281e-06,0.0,0.00011409617514268676
player_4d09d0be025a,5,1.743437305649292,2.997588740065778e-06,0.0,3.2211006048215347e-06
player_06ccd8ba0126,7,2.986563566374589,4.778551566851991e-06,0.0,2.12965329244399e-07
player_ce076e8d8d1a,11,4.439305498171606,5.782299295104594e-06,0.0,0.005523708365278132
player_2b870e5ae173,31,12.643866546548324,1.719641071442124e-05,0.0,0.0030378439390067297
player_d7796b426771,25,13.093752921512165,1.3992772122237594e-05,0.0,0.0003943053070960047
player_07ca7da61a85,11,5.459495598198622,6.449480768496e-06,0.0,0.00020535181872391174
player_429490cd4cad,5,1.3621671706567442,2.917421736057141e-06,0.0,0.0007768975210835676
player_dee2ce0cb393,8,3.9485612459927832,4.960688662464372e-06,0.0,1.064826646221995e-07
player_1bf19d7916a1,73,28.597834061033723,3.885726614286282e-05,0.0,0.01279706001362978
player_46a5916b7332,6,2.6094586288487847,3.580293801077357e-06,0.0,0.00016621943947525342
player_942402399e3d,20,8.54674393224918,1.1462498717542323e-05,0.0,0.001987472314507198
player_c9218806d39b,10,3.8150756103392123,4.8874355228891075e-06,0.0,0.005383790143964562
player_19822b1b15d9,17,7.428369545507576,9.945754153858603e-06,0.0,0.0014545265780730897
player_d6f16266352f,46,18.91801680644113,2.5936389789083464e-05,0.0,0.0013002864383678337
player_ad0171acfb10,6,2.490632568775772,4.000405989675942e-06,0.0,8.944543828264759e-06
player_ccaf85236495,5,1.711041133958493,3.4125968383755692e-06,0.0,0.00018967224635829287
player_e64154c5b0f0,10,3.3421726333890236,5.662043588855572e-06,0.0,0.0003621209217139449
