player_id,player_name,season,position_group,matches_played,minutes_played,goals,assists,shots,shots_on_target,passes_completed,passes_attempted,tackles,interceptions,fouls_committed,yellow_cards,red_cards,minutes_per_match,goals_per90,assists_per90,shots_per90,shots_on_target_per90,passes_completed_per90,passes_attempted_per90,tackles_per90,interceptions_per90,fouls_committed_per90,cards_per90,shot_accuracy,pass_accuracy,goal_conversion_rate,defensive_actions_per90,discipline_points_per90
player_ccb8c1e24fb7,Lewandowski,2021-2022,Forward,10.0,876.0,13.0,3.0,31.0,19.0,163.0,206.0,4.0,7.0,11.0,0.0,1.0,87.6,1.3356164383561644,0.3082191780821918,3.184931506849315,1.952054794520548,16.746575342465754,21.164383561643834,0.410958904109589,0.7191780821917808,1.13013698630137,0.10273972602739725,0.6129032258064516,0.7912621359223301,0.41935483870967744,1.13013698630137,1.7465753424657535
player_565b0c1eb1f9,Grimaldo,2021-2022,Defender,10.0,863.0,0.0,3.0,3.0,1.0,257.0,319.0,15.0,34.0,5.0,0.0,2.0,86.3,0.0,0.3128621089223638,0.3128621089223638,0.10428736964078796,26.801853997682503,33.26767091541136,1.5643105446118193,3.54577056778679,0.5214368482039398,0.2085747392815759,0.3333333333333333,0.8056426332288401,0.0,5.11008111239861,1.772885283893395
player_999d89d1817f,Rodri,2021-2022,Unknown,10.0,842.0,0.0,0.0,6.0,0.0,760.0,806.0,14.0,52.0,19.0,0.0,2.0,84.2,0.0,0.0,0.6413301662707839,0.0,81.23515439429929,86.1520190023753,1.496437054631829,5.558194774346793,2.030878859857482,0.21377672209026127,0.0,0.9429280397022333,0.0,7.054631828978622,3.31353919239905
player_4b8262452cfe,João Cancelo,2021-2022,Unknown,9.0,840.0,2.0,3.0,11.0,4.0,586.0,668.0,9.0,56.0,11.0,0.0,3.0,93.33333333333333,0.21428571428571427,0.32142857142857145,1.1785714285714286,0.42857142857142855,62.785714285714285,71.57142857142857,0.9642857142857143,6.0,1.1785714285714286,0.32142857142857145,0.36363636363636365,0.8772455089820359,0.18181818181818182,6.964285714285714,3.107142857142857
player_3a030e858919,Rüdiger,2021-2022,Defender,9.0,840.0,1.0,0.0,11.0,1.0,681.0,750.0,9.0,46.0,11.0,0.0,2.0,93.33333333333333,0.10714285714285714,0.0,1.1785714285714286,0.10714285714285714,72.96428571428571,80.35714285714286,0.9642857142857143,4.928571428571429,1.1785714285714286,0.21428571428571427,0.09090909090909091,0.908,0.09090909090909091,5.892857142857143,2.4642857142857144
player_8e71804d6d1e,Reinildo,2021-2022,Defender,10.0,816.0,0.0,0.0,,,302.0,364.0,13.0,76.0,15.0,0.0,2.0,81.6,0.0,0.0,,,33.30882352941177,40.14705882352941,1.4338235294117647,8.382352941176471,1.6544117647058822,0.22058823529411764,,0.8296703296703297,,9.816176470588236,2.9779411764705883
player_5b0c6b0eeeda,Neuer,2021-2022,Unknown,9.0,810.0,0.0,1.0,,,318.0,352.0,,,,,,90.0,0.0,0.1111111111111111,,,35.333333333333336,39.111111111111114,,,,0.0,,0.9034090909090909,,,
player_f4e98340e600,Weigl,2021-2022,Midfielder,9.0,810.0,0.0,0.0,2.0,1.0,316.0,351.0,23.0,35.0,10.0,0.0,2.0,90.0,0.0,0.0,0.2222222222222222,0.1111111111111111,35.111111111111114,39.0,2.5555555555555554,3.888888888888889,1.1111111111111112,0.2222222222222222,0.5,0.9002849002849003,0.0,6.444444444444445,2.4444444444444446
player_566ac8740a2d,Otamendi,2021-2022,Defender,9.0,810.0,0.0,0.0,4.0,1.0,328.0,380.0,28.0,63.0,17.0,0.0,2.0,90.0,0.0,0.0,0.4444444444444444,0.1111111111111111,36.44444444444444,42.22222222222222,3.111111111111111,7.0,1.8888888888888888,0.2222222222222222,0.25,0.8631578947368421,0.0,10.11111111111111,3.2222222222222223
player_9f5a44a734ac,Sané,2021-2022,Midfielder,10.0,798.0,6.0,6.0,33.0,13.0,346.0,398.0,1.0,23.0,2.0,0.0,0.0,79.8,0.6766917293233082,0.6766917293233082,3.7218045112781954,1.4661654135338347,39.02255639097744,44.88721804511278,0.11278195488721804,2.593984962406015,0.22556390977443608,0.0,0.3939393939393939,0.8693467336683417,0.18181818181818182,2.706766917293233,0.22556390977443608
player_47b2e1f7ed63,Laporte,2021-2022,Defender,9.0,794.0,0.0,0.0,5.0,1.0,672.0,707.0,5.0,51.0,4.0,0.0,2.0,88.22222222222223,0.0,0.0,0.5667506297229219,0.11335012594458438,76.17128463476071,80.13853904282117,0.5667506297229219,5.7808564231738035,0.4534005037783375,0.22670025188916876,0.2,0.9504950495049505,0.0,6.347607052896725,1.81360201511335
player_f8401cfceaf5,Müller,2021-2022,Forward,10.0,778.0,4.0,3.0,14.0,8.0,283.0,366.0,8.0,18.0,11.0,0.0,0.0,77.8,0.46272493573264784,0.34704370179948585,1.6195372750642674,0.9254498714652957,32.73778920308483,42.339331619537276,0.9254498714652957,2.082262210796915,1.2724935732647815,0.0,0.5714285714285714,0.773224043715847,0.2857142857142857,3.007712082262211,1.2724935732647815
player_f4e9bc76ea56,Pavard,2021-2022,Unknown,10.0,764.0,0.0,1.0,10.0,2.0,613.0,676.0,12.0,55.0,9.0,0.0,0.0,76.4,0.0,0.11780104712041885,1.1780104712041886,0.2356020942408377,72.21204188481676,79.63350785340315,1.4136125654450262,6.479057591623037,1.0602094240837696,0.0,0.2,0.9068047337278107,0.0,7.892670157068062,1.0602094240837696
player_8ecc3aa3b0c4,Thiago Silva,2021-2022,Unknown,9.0,757.0,0.0,1.0,7.0,1.0,571.0,607.0,9.0,65.0,6.0,0.0,1.0,84.11111111111111,0.0,0.11889035667107001,0.8322324966974901,0.11889035667107001,67.88639365918098,72.1664464993395,1.07001321003963,7.7278731836195504,0.71334214002642,0.11889035667107001,0.14285714285714285,0.9406919275123559,0.0,8.797886393659182,1.42668428005284
player_1514a6806671,De Bruyne,2021-2022,Midfielder,10.0,734.0,2.0,4.0,24.0,7.0,334.0,397.0,6.0,11.0,9.0,0.0,2.0,73.4,0.2452316076294278,0.4904632152588556,2.9427792915531334,0.8583106267029973,40.95367847411444,48.678474114441414,0.7356948228882834,1.348773841961853,1.103542234332425,0.2452316076294278,0.2916666666666667,0.8413098236775819,0.08333333333333333,2.084468664850136,2.5749318801089918
player_e05b13772eeb,Škriniar,2021-2022,Defender,8.0,720.0,1.0,0.0,10.0,3.0,416.0,451.0,11.0,38.0,5.0,0.0,1.0,90.0,0.125,0.0,1.25,0.375,52.0,56.375,1.375,4.75,0.625,0.125,0.3,0.9223946784922394,0.1,6.125,1.375
player_50a518cf43e1,Kristensen,2021-2022,Defender,8.0,720.0,0.0,1.0,10.0,2.0,191.0,282.0,18.0,36.0,14.0,0.0,1.0,90.0,0.0,0.125,1.25,0.25,23.875,35.25,2.25,4.5,1.75,0.125,0.2,0.6773049645390071,0.0,6.75,2.5
player_505c195874ae,Martínez,2021-2022,Defender,8.0,720.0,0.0,1.0,6.0,2.0,633.0,674.0,10.0,53.0,7.0,0.0,1.0,90.0,0.0,0.125,0.75,0.25,79.125,84.25,1.25,6.625,0.875,0.125,0.3333333333333333,0.9391691394658753,0.0,7.875,1.625
player_320b3a59a649,Marquinhos,2021-2022,Unknown,8.0,720.0,0.0,1.0,,,475.0,509.0,2.0,42.0,3.0,0.0,0.0,90.0,0.0,0.125,,,59.375,63.625,0.25,5.25,0.375,0.0,,0.9332023575638507,,5.5,0.375
player_d4ad10396e23,Fonte,2021-2022,Defender,8.0,720.0,0.0,0.0,3.0,0.0,328.0,369.0,13.0,47.0,6.0,0.0,3.0,90.0,0.0,0.0,0.375,0.0,41.0,46.125,1.625,5.875,0.75,0.375,0.0,0.8888888888888888,0.0,7.5,3.0
player_a248d357f4d7,Köhn,2021-2022,Goalkeeper,8.0,720.0,0.0,0.0,,,156.0,220.0,,,,,,90.0,0.0,0.0,,,19.5,27.5,,,,0.0,,0.7090909090909091,,,
player_b02407ed84a3,Handanovič,2021-2022,Goalkeeper,8.0,720.0,0.0,0.0,,,230.0,253.0,,,,,,90.0,0.0,0.0,,,28.75,31.625,,,,0.0,,0.9090909090909091,,,
player_471cc4078df7,Hakimi,2021-2022,Unknown,8.0,718.0,0.0,0.0,1.0,0.0,378.0,417.0,7.0,36.0,3.0,0.0,2.0,89.75,0.0,0.0,0.12534818941504178,0.0,47.381615598885794,52.270194986072426,0.8774373259052924,4.512534818941504,0.37604456824512533,0.25069637883008355,0.0,0.9064748201438849,0.0,5.389972144846797,1.8802228412256268
player_b0e3e68dab30,Ulmer,2021-2022,Defender,8.0,716.0,0.0,0.0,5.0,2.0,187.0,277.0,6.0,41.0,13.0,0.0,2.0,89.5,0.0,0.0,0.6284916201117319,0.25139664804469275,23.50558659217877,34.81843575418994,0.7541899441340782,5.153631284916201,1.6340782122905029,0.25139664804469275,0.4,0.6750902527075813,0.0,5.907821229050279,3.142458100558659
player_bafff1df7d91,Gilberto,2021-2022,Unknown,9.0,715.0,1.0,0.0,3.0,1.0,232.0,291.0,17.0,48.0,16.0,0.0,1.0,79.44444444444444,0.1258741258741259,0.0,0.3776223776223776,0.1258741258741259,29.202797202797203,36.62937062937063,2.13986013986014,6.041958041958042,2.013986013986014,0.1258741258741259,0.3333333333333333,0.7972508591065293,0.3333333333333333,8.181818181818182,2.769230769230769
player_50f870e4bc9e,Aaronson,2021-2022,Midfielder,8.0,715.0,0.0,2.0,9.0,3.0,181.0,239.0,4.0,17.0,3.0,0.0,0.0,89.375,0.0,0.2517482517482518,1.132867132867133,0.3776223776223776,22.783216783216783,30.083916083916083,0.5034965034965035,2.13986013986014,0.3776223776223776,0.0,0.3333333333333333,0.7573221757322176,0.0,2.6433566433566433,0.3776223776223776
player_bfb0c8f945ee,Rafa Silva,2021-2022,Unknown,9.0,704.0,1.0,1.0,9.0,1.0,145.0,187.0,12.0,21.0,8.0,0.0,2.0,78.22222222222223,0.1278409090909091,0.1278409090909091,1.1505681818181819,0.1278409090909091,18.536931818181817,23.90625,1.5340909090909092,2.684659090909091,1.0227272727272727,0.2556818181818182,0.1111111111111111,0.7754010695187166,0.1111111111111111,4.21875,2.5568181818181817
