match_id,season,date,home_team_id,away_team_id,stadium,city,country,referee,home_score,away_score,possession_home,possession_away
m_99,2013-2014,26-02-2014,bd35d091e000,8056df088208,Turk Telekom Arena,Estambul,Turquia,Carlos Velasco Carballo,1,1,0.58,0.42
m_100,2013-2014,18-03-2014,8056df088208,bd35d091e000,Stamford Bridge,Londres,Inglaterra,Felix Brych,2,0,0.49,0.51
m_101,2013-2014,26-02-2014,09231e49e8f9,93330b415214,Veltins-Arena,Gelsenkirchen,Alemania,Howard Webb,1,6,0.43,0.57
m_102,2013-2014,18-03-2014,93330b415214,09231e49e8f9,Santiago Bernabeu,Madrid,España,Sergei Karasev,3,1,0.57,0.43
m_103,2013-2014,01-04-2014,550d05ab240e,216584413ea9,Camp Nou,Barcelona,España,Felix Brych,1,1,0.71,0.29
m_104,2013-2014,09-04-2014,216584413ea9,550d05ab240e,Vicente Calderon,Madrid,España,Howard Webb,1,0,0.29,0.71
m_105,2013-2014,01-04-2014,9ff48521032a,240dd2121e44,Old Trafford,Manchester,Inglaterra,,1,1,0.26,0.74
m_106,2013-2014,09-04-2014,240dd2121e44,9ff48521032a,Allianz Arena,Munich,Alemania,,3,1,0.65,0.35
m_107,2013-2014,02-04-2014,93330b415214,9457f1ba26ee,Santiago Bernabeu,Madrid,España,Mark Clattenburg,3,0,0.61,0.39
m_108,2013-2014,08-04-2014,9457f1ba26ee,93330b415214,Signal Iduna Park,Dortmund,Alemania,Damir Skomina,2,0,0.51,0.49
m_109,2013-2014,02-04-2014,bdec8a408440,8056df088208,Parc des Princes,Paris,Francia,Milorad Mažić,3,1,0.41,0.59
m_110,2013-2014,08-04-2014,8056df088208,bdec8a408440,Stamford Bridge,Londres,Inglaterra,Pedro Proença,2,0,0.52,0.48
m_111,2013-2014,22-04-2014,216584413ea9,8056df088208,Vicente Calderon,Madrid,España,Jonas Eriksson,0,0,0.68,0.32
m_112,2013-2014,30-04-2014,8056df088208,216584413ea9,Stamford Bridge,Londres,Inglaterra,Nicola Rizzoli,1,3,0.48,0.52
m_113,2013-2014,23-04-2014,93330b415214,240dd2121e44,Santiago Bernabeu,Madrid,España,Howard Webb,1,0,0.28,0.72
m_114,2013-2014,29-04-2014,240dd2121e44,93330b415214,Allianz Arena,Munich,Alemania,Pedro Proença,0,4,0.69,0.31
m_115,2013-2014,24-05-2014,93330b415214,216584413ea9,Estadio da Luz,Lisboa,Portugal,Björn Kuipers,4,1,0.62,0.38
m_116,2014-2015,17-02-2015,bdec8a408440,8056df088208,Parc des Princes,Paris,Francia,Cüneyt Çakır,1,1,0.45,0.54
m_117,2014-2015,11-03-2015,8056df088208,bdec8a408440,Stamford Bridge,Londres,Inglaterra,Björn Kuipers,2,2,0.49,0.51
m_118,2014-2015,18-02-2015,ebf2d2f5d61d,550d05ab240e,Etihad Stadium,Manchester,Inglaterra,,1,2,0.37,0.62
m_119,2014-2015,18-03-2015,550d05ab240e,ebf2d2f5d61d,Camp Nou,Barcelona,España,Gianluca Rocchi,1,0,0.57,0.42
m_120,2014-2015,24-02-2015,e1e2b54b5c32,216584413ea9,BayArena,Leverkusen,Alemania,,1,0,0.65,0.34
m_121,2014-2015,17-03-2015,216584413ea9,e1e2b54b5c32,Vicente Calderon,Madrid,España,Nicola Rizzoli,1,0,0.48,0.51
m_122,2014-2015,24-02-2015,4fc9baf21034,d6a297c6193f,Emirates Stadium,Londres,Inglaterra,,1,3,0.57,0.42
m_123,2014-2015,17-03-2015,d6a297c6193f,4fc9baf21034,Stade Louis II,Monaco,Monaco,Svein Oddvar Moen,0,2,0.29,0.7
m_124,2014-2015,25-02-2015,0fe76b7fe2ce,240dd2121e44,Arena Lviv,Lviv,Ucrania,,0,0,0.36,0.63
m_125,2014-2015,11-03-2015,240dd2121e44,0fe76b7fe2ce,Allianz Arena,Munich,Alemania,William Collum,7,0,0.73,0.26
m_126,2014-2015,25-02-2015,09231e49e8f9,93330b415214,Veltins-Arena,Gelsenkirchen,Alemania,,0,2,0.39,0.61
m_127,2014-2015,10-03-2015,93330b415214,09231e49e8f9,Santiago Bernabeu,Madrid,España,Damir Skomina,3,4,0.48,0.52
m_128,2014-2015,18-02-2015,aea93afdf4be,8493f398f200,St. Jakob-Park,Basilea,Suiza,Mark Clattenburg,1,1,0.37,0.63
m_129,2014-2015,10-03-2015,8493f398f200,aea93afdf4be,Estadio do Dragao,Porto,Portugal,Jonas Eriksson,4,0,0.51,0.48
m_130,2014-2015,17-02-2015,fdb4b66db097,9457f1ba26ee,Juventus Stadium,Turin,Italia,,2,1,0.46,0.53
m_131,2014-2015,18-03-2015,9457f1ba26ee,fdb4b66db097,Signal Iduna Park,Dortmund,Alemania,Milorad Mažić,0,3,0.55,0.44
m_132,2014-2015,14-04-2015,216584413ea9,93330b415214,Vicente Calderon,Madrid,España,Milorad Mažić,0,0,0.39,0.61
m_133,2014-2015,22-04-2015,93330b415214,216584413ea9,Santiago Bernabeu,Madrid,España,Felix Brych,1,0,0.63,0.37
m_134,2014-2015,14-04-2015,bdec8a408440,550d05ab240e,Parc des Princes,Paris,Francia,,1,3,0.66,0.34
m_135,2014-2015,21-04-2015,550d05ab240e,bdec8a408440,Camp Nou,Barcelona,España,Svein Oddvar Moen,2,0,0.57,0.43
m_136,2014-2015,15-04-2015,8493f398f200,240dd2121e44,Estadio do Dragao,Porto,Portugal,Carlos Velasco Carballo,3,1,0.32,0.68
m_137,2014-2015,21-04-2015,240dd2121e44,8493f398f200,Allianz Arena,Munich,Alemania,Martin Atkinson,6,1,0.55,0.45
m_138,2014-2015,15-04-2015,fdb4b66db097,d6a297c6193f,Juventus Stadium,Turin,Italia,,1,0,0.64,0.36
m_139,2014-2015,22-04-2015,d6a297c6193f,fdb4b66db097,Stade Louis II,Monaco,Monaco,William Collum,0,0,0.56,0.44
m_140,2014-2015,05-05-2015,fdb4b66db097,93330b415214,Juventus Stadium,Turin,Italia,Martin Atkinson,2,1,0.48,0.52
m_141,2014-2015,13-05-2015,93330b415214,fdb4b66db097,Santiago Bernabeu,Madrid,España,Jonas Eriksson,1,1,0.54,0.46
m_142,2014-2015,06-05-2015,550d05ab240e,240dd2121e44,Camp Nou,Barcelona,España,Nicola Rizzoli,3,0,0.45,0.55
m_143,2014-2015,12-05-2015,240dd2121e44,550d05ab240e,Allianz Arena,Munich,Alemania,Mark Clattenburg,3,2,0.54,0.46
m_144,2014-2015,06-06-2015,550d05ab240e,fdb4b66db097,Olympiastadion,Berlin,Alemania,Cüneyt Çakır,3,1,0.62,0.38
m_145,2015-2016,16-02-2016,bdec8a408440,8056df088208,Parc des Princes,Paris,Francia,Carlos Velasco Carballo,2,1,0.35,0.65
m_146,2015-2016,09-03-2016,8056df088208,bdec8a408440,Stamford Bridge,Londres,Inglaterra,Felix Brych,1,2,0.37,0.63
m_147,2015-2016,17-02-2016,e82fd46b0550,93330b415214,Stadio Olimpico,Roma,Italia,Pavel Královec,0,2,0.39,0.61
m_148,2015-2016,08-03-2016,93330b415214,e82fd46b0550,Santiago Bernabeu,Madrid,España,Szymon Marciniak,2,0,0.59,0.41
m_149,2015-2016,23-02-2016,4fc9baf21034,550d05ab240e,Emirates Stadium,Londres,Inglaterra,Cüneyt Çakır,0,2,0.34,0.66
m_150,2015-2016,16-03-2016,550d05ab240e,4fc9baf21034,Camp Nou,Barcelona,España,Sergei Karasev,3,1,0.64,0.36
m_151,2015-2016,23-02-2016,fdb4b66db097,240dd2121e44,Juventus Stadium,Turin,Italia,Martin Atkinson,2,2,0.33,0.67
m_152,2015-2016,16-03-2016,240dd2121e44,fdb4b66db097,Allianz Arena,Munich,Alemania,Jonas Eriksson,4,2,0.75,0.25
m_153,2015-2016,24-02-2016,ea7d100031c0,216584413ea9,Philips Stadion,Eindhoven,Países Bajos,Daniele Orsato,0,0,0.42,0.58
m_154,2015-2016,15-03-2016,216584413ea9,ea7d100031c0,Vicente Calderon,Madrid,España,Mark Clattenburg,0,0,0.59,0.41
m_155,2015-2016,24-02-2016,9608110853ee,ebf2d2f5d61d,Olimpiyskiy Stadium,Kiev,Ucrania,Antonio Mateu Lahoz,1,3,0.49,0.51
m_156,2015-2016,15-03-2016,ebf2d2f5d61d,9608110853ee,Etihad Stadium,Manchester,Inglaterra,Ovidiu Haţegan,0,0,0.46,0.54
m_157,2015-2016,16-02-2016,e4bbc3bef62e,479bf0803cf7,Estadio da Luz,Lisboa,Portugal,Gianluca Rocchi,1,0,0.64,0.36
m_158,2015-2016,09-03-2016,479bf0803cf7,e4bbc3bef62e,Petrovsky Stadium,San Petersburgo,Rusia,Viktor Kassai,1,2,0.56,0.44
