match_id,season,date,home_team_id,away_team_id,stadium,city,country,referee,home_score,away_score,possession_home,possession_away
match_11a4a3936627,2012-2013,12-03-2013,team_97ee5474801c,team_c8257652cf16,BVB Stadion Dortmund,Dortmund,Alemania,Damir Skomina,3,0,0.46,0.54
match_fecb69719999,2012-2013,19-02-2013,team_71d6c631e36a,team_3292248cf512,Estadio do Dragao,Porto,Portugal,Mark Clattenburg,1,0,0.63,0.37
match_fae3c68048b5,2012-2013,13-03-2013,team_3292248cf512,team_71d6c631e36a,La Rosaleda,Malaga,España,Nicola Rizzoli,2,0,0.51,0.49
match_2f00c6590ea6,2012-2013,19-02-2013,team_1c5442c0461e,team_005131c0e2cb,Emirates Stadium,Londres,Inglaterra,Svein Oddvar Moen,1,3,0.58,0.42
match_9e6160d2d128,2012-2013,13-03-2013,team_005131c0e2cb,team_1c5442c0461e,Allianz Arena,Munich,Alemania,Pavel Královec,0,2,0.55,0.45
match_c985f6c814da,2012-2013,20-02-2013,team_3ce98d8f2aba,team_dea56e47f1c6,San Siro,Milán,Italia,Craig Thomson,2,0,0.28,0.72
match_46e3dcea335c,2012-2013,12-03-2013,team_dea56e47f1c6,team_3ce98d8f2aba,Camp Nou,Barcelona,España,Viktor Kassai,4,0,0.67,0.33
match_1e1df41cbab3,2012-2013,20-02-2013,team_c6728117c52b,team_b72cd3ffa1d1,Turk Telekom Arena,Estambul,Turquia,William Collum,1,1,0.43,0.57
match_132b984028d7,2012-2013,12-03-2013,team_b72cd3ffa1d1,team_c6728117c52b,Veltins-Arena,Gelsenkirchen,Alemania,Jonas Eriksson,2,3,0.6,0.4
match_408f17dacb3c,2012-2013,02-04-2013,team_268fb4595b07,team_dea56e47f1c6,Parc des Princes,Paris,Francia,Wolfgang Stark,2,2,0.68,0.32
match_8d1a7d9ac900,2012-2013,10-04-2013,team_dea56e47f1c6,team_268fb4595b07,Camp Nou,Barcelona,España,Björn Kuipers,1,1,0.63,0.37
match_479a5cc61db4,2012-2013,02-04-2013,team_005131c0e2cb,team_b89dc80fb627,Allianz Arena,Munich,Alemania,Mark Clattenburg,2,0,0.55,0.45
match_40a44944bee8,2012-2013,10-04-2013,team_b89dc80fb627,team_005131c0e2cb,Juventus Stadium,Turin,Italia,Carlos Velasco Carballo,0,2,0.42,0.58
match_ae21816619c1,2012-2013,03-04-2013,team_3292248cf512,team_97ee5474801c,La Rosaleda,Malaga,España,Jonas Eriksson,0,0,0.5,0.5
match_da5131fb2c24,2012-2013,09-04-2013,team_97ee5474801c,team_3292248cf512,Signal Iduna Park,Dortmund,Alemania,Craig Thomson,3,2,0.62,0.38
match_6fa7806bc57e,2012-2013,03-04-2013,team_bd172eeb9d96,team_c6728117c52b,Santiago Bernabeu,Madrid,España,Svein Oddvar Moen,3,0,0.5,0.5
match_fa6d233cb65b,2012-2013,09-04-2013,team_c6728117c52b,team_bd172eeb9d96,Turk Telekom Arena,Estambul,Turquia,Stéphane Lannoy,3,2,0.57,0.43
match_0c30b3fbffdf,2012-2013,23-04-2013,team_005131c0e2cb,team_dea56e47f1c6,Allianz Arena,Munich,Alemania,Viktor Kassai,4,0,0.34,0.66
match_d51a028f3595,2012-2013,01-05-2013,team_dea56e47f1c6,team_005131c0e2cb,Camp Nou,Barcelona,España,Damir Skomina,0,3,0.6,0.4
match_5d642d917570,2012-2013,24-04-2013,team_97ee5474801c,team_bd172eeb9d96,Signal Iduna Park,Dortmund,Alemania,Björn Kuipers,4,1,0.44,0.56
match_e433a6dbd378,2012-2013,30-04-2013,team_bd172eeb9d96,team_97ee5474801c,Santiago Bernabeu,Madrid,España,Howard Webb,2,0,0.65,0.35
match_9a15aa31515c,2012-2013,25-05-2013,team_005131c0e2cb,team_97ee5474801c,Wembley,Londres,Inglaterra,Nicola Rizzoli,2,1,0.61,0.39
match_fe213cd223d1,2013-2014,18-02-2014,team_13d462033389,team_dea56e47f1c6,Etihad Stadium,Manchester,Inglaterra,Jonas Eriksson,0,2,0.32,0.68
match_5c85e95a4aab,2013-2014,12-03-2014,team_dea56e47f1c6,team_13d462033389,Camp Nou,Barcelona,España,Stéphane Lannoy,2,1,0.58,0.42
match_ac0e7b5d958f,2013-2014,19-02-2014,team_1c5442c0461e,team_005131c0e2cb,Emirates Stadium,Londres,Inglaterra,Nicola Rizzoli,0,2,0.21,0.79
match_128d19fff67f,2013-2014,11-03-2014,team_005131c0e2cb,team_1c5442c0461e,Allianz Arena,Munich,Alemania,Svein Oddvar Moen,1,1,0.67,0.33
match_68e5f095de79,2013-2014,18-02-2014,team_3ce98d8f2aba,team_7c96c6c75fa1,San Siro,Milán,Italia,NULL,0,1,0.51,0.49
match_168c480dab63,2013-2014,11-03-2014,team_7c96c6c75fa1,team_3ce98d8f2aba,Vicente Calderon,Madrid,España,Mark Clattenburg,4,1,0.47,0.53
match_74cf784b4be6,2013-2014,19-02-2014,team_099f7fbab1ee,team_268fb4595b07,BayArena,Leverkusen,Alemania,NULL,0,4,0.36,0.64
match_d7009045cd7f,2013-2014,12-03-2014,team_268fb4595b07,team_099f7fbab1ee,Parc des Princes,Paris,Francia,Ivan Bebek,2,1,0.38,0.62
match_ea3baa1c4e29,2013-2014,25-02-2014,team_0af179e1e85f,team_2cd2088171b7,Karaiskakis Stadium,Pireo,Grecia,NULL,2,0,0.4,0.6
match_d41c7dfca2d8,2013-2014,19-03-2014,team_2cd2088171b7,team_0af179e1e85f,Old Trafford,Manchester,Inglaterra,NULL,3,0,0.49,0.51
match_36cee5b36799,2013-2014,25-02-2014,team_d1a8e0ed2ef9,team_97ee5474801c,Petrovsky Stadium,San Petersburgo,Rusia,William Collum,2,4,0.59,0.41
match_a1a25301049b,2013-2014,19-03-2014,team_97ee5474801c,team_d1a8e0ed2ef9,Signal Iduna Park,Dortmund,Alemania,Alberto Undiano Mallenco,1,2,0.48,0.52
match_774ec4d33a29,2013-2014,26-02-2014,team_c6728117c52b,team_91cb315a6405,Turk Telekom Arena,Estambul,Turquia,Carlos Velasco Carballo,1,1,0.58,0.42
match_0147a5bbed00,2013-2014,18-03-2014,team_91cb315a6405,team_c6728117c52b,Stamford Bridge,Londres,Inglaterra,Felix Brych,2,0,0.49,0.51
match_9b0209a87ad2,2013-2014,26-02-2014,team_b72cd3ffa1d1,team_bd172eeb9d96,Veltins-Arena,Gelsenkirchen,Alemania,Howard Webb,1,6,0.43,0.57
match_f36b526659c3,2013-2014,18-03-2014,team_bd172eeb9d96,team_b72cd3ffa1d1,Santiago Bernabeu,Madrid,España,Sergei Karasev,3,1,0.57,0.43
match_ef9bf9be7481,2013-2014,01-04-2014,team_dea56e47f1c6,team_7c96c6c75fa1,Camp Nou,Barcelona,España,Felix Brych,1,1,0.71,0.29
match_b94ae56d09d4,2013-2014,09-04-2014,team_7c96c6c75fa1,team_dea56e47f1c6,Vicente Calderon,Madrid,España,Howard Webb,1,0,0.29,0.71
match_be3f8843bb2e,2013-2014,01-04-2014,team_2cd2088171b7,team_005131c0e2cb,Old Trafford,Manchester,Inglaterra,NULL,1,1,0.26,0.74
